Framework,Objective_ID,Objective,Weight_or_priority,Lesson,Product,Evidence,Status,Confidence,Last_practised,Last_retested,Source_version,Notes
AB410,AB410-2.2.5,Manage variables and collections,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.6,Implement error handling,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.7,"Test canvas apps, including using Monitor",25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-2.2.8,Create a Copilot Studio agent from a canvas app,25-30%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.1,Recommend cloud flow triggers,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.2,Evaluate and recommend connectors,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.3,Manage approvals by using cloud flows,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.4,Configure cloud flow actions,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.5,Implement flow control with conditions and loops,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.1.6,Test and troubleshoot cloud flows,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.1,Build prompts from templates or from blank,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.2,Consume a prompt in apps,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.3,Consume a prompt in cloud flows,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.4,Add knowledge to a prompt,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.5,"Customize prompt settings, including models",40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.6,Add inputs to a prompt,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.7,Consume an AI model in apps,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.2.8,Consume an AI model in cloud flows,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.3.1,Configure business rules,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.3.2,Configure business process flows,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.3.3,"Configure calculated, rollup, and formula columns",40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB410,AB410-3.3.4,Evaluate use cases for business logic,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-26),
AB620,AB620-1.1.1,Plan integration with enterprise systems,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.2,Plan identity strategy,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.3,Plan channels and deployment,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.4,Plan responsible AI strategy,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.5,Evaluate security and governance considerations,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.6,Plan reuseable agent components,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.1.7,Design agents for internal or external audiences,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.1,Create an agent flow,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.2,Create a human-in-the-loop agent flow,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.3,Configure actions and connectors,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.4,Monitor agent flows,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.5,Add input and output parameters,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.2.6,Implement error handling in agent flows,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.1,Add agent flows to a topic,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.2,Configure agent response formatting,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.3,Add tools to a topic,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.4,Configure advanced agent responses with custom prompts,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.5,Configure advanced agent responses with custom knowledge sources,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.6,Configure advanced agent responses with API and Send HTTP requests,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.7,Configure generative answers node,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.8,Configure adaptive cards,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-1.3.9,Manage variables,30-35%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.1.1,Connect to Copilot connectors,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.1.2,Connect to Microsoft Power Platform connectors,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.1.3,Connect to Azure AI Search,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.2.1,Configure and monitor computer use for an agent,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.2.2,Configure MCP tools,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.2.3,Add a tool by using an existing custom connector,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.2.4,Add REST APIs to an agent,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.3.1,Design multi-agent solutions in Copilot Studio,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.3.2,Integrate a Foundry agent,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.3.3,Integrate an existing agent in Copilot Studio,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.3.4,Integrate a Fabric data agent,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.3.5,Create a multi-agent solution by using A2A protocol,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.4.1,Configure generative answers by using Azure AI Search with Foundry,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.4.2,Configure custom prompts to use the Foundry model catalog,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-2.4.3,Monitor agents by using Application Insights,40-45%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.1.1,Create a test set,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.1.2,Choose an evaluation method,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.1.3,Review test results,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.2.1,Create a solution,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.2.2,Add existing agents to a solution,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.2.3,Create and use environment variables,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB620,AB620-3.2.4,Implement and extend Microsoft Power Platform Pipelines,20-25%,,,,Unseen,,,,page updated 2026-07-31 (ms.date 2026-04-09),
AB100,AB100-1.1.1,"Assess the use of agents in task automation, data analytics, and decision-making",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.1.2,"Review data for grounding, including accuracy, relevance, timeliness, cleanliness, and availability",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.1.3,Organize business solution data to be available for other AI systems,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.1,Implement the AI adoption process from the Cloud Adoption Framework for Azure,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.2,Design the strategy for building AI and agents in business solutions,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.3,"Design a multi-agent solution by using platforms such as Microsoft 365 Copilot, Copilot Studio, and Microsoft Foundry",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.4,Develop the use cases for prebuilt agents in the solution,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.5,"Define the solution rules and constraints when building AI components with Copilot Studio, Microsoft Foundry and Microsoft Foundry Tools",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.6,Determine the use of generative AI and knowledge sources in agents built with Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.7,Determine when to build custom agents or extend Microsoft 365 Copilot,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.8,Determine when custom AI models should be created,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.9,Provide guidelines for creating a prompt library,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.10,Develop the use cases for customized small language models for the solution,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.11,Provide prompt engineering guidelines and techniques for AI-powered business solutions,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.12,Include the elements of the Microsoft AI Center of Excellence,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.2.13,Design AI solutions that use multiple Dynamics 365 apps,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.3.1,"Select ROI criteria for AI-powered business solutions, including the total cost of ownership",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.3.2,Create an ROI analysis for the proposed AI solution for a business process,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.3.3,"Analyze whether to build, buy, or extend AI components for business solutions",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-1.3.4,Implement a model router to intelligently route requests to the most suitable model,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.1,Design business terms for Copilot in Dynamics 365 apps for customer experience and service,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.2,Design customizations of Copilot in Dynamics 365 apps for customer experience and service,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.3,Design connectors for Copilot in Dynamics 365 Sales,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.4,Design agents for integration with Dynamics 365 Contact Center channels,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.5,Design task agents,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.6,Design autonomous agents,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.7,Design prompt and response agents,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.8,Propose Microsoft Foundry Tools for a given requirement,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.9,Propose code-first generative pages and the use of an agent feed for apps,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.10,"Design topics for Copilot Studio, including fallback",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.11,Design data processing for AI models and grounding,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.12,Design a business process to include AI components in a Power Apps canvas app,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.13,Apply the Microsoft Power Platform Well-Architected Framework to intelligent application workloads,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.14,"Determine when to use standard natural language processing, conversational language understanding, or generative AI orchestration in Copilot Studio",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.15,Design agents and agent flows with Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.1.16,Design prompt actions in Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.1,Design AI solutions by using custom models in Microsoft Foundry,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.2,Design agents in Microsoft 365 Copilot,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.3,Design agent extensibility in Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.4,Design agent extensibility with Model Context Protocol in Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.5,Design agents to automate tasks in apps and websites by using Computer Use in Copilot Studio,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.6,"Design agent behaviors in Copilot Studio, including reasoning and voice mode",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.2.7,"Optimize solution design by using agents in Microsoft 365, including Teams and SharePoint",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.1,Orchestrate AI features in Dynamics 365 apps for finance and supply chain,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.2,Orchestrate AI features in Dynamics 365 apps for customer experience and service,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.3,Propose Microsoft 365 agents for business scenarios,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.4,Orchestrate the configuration of Microsoft 365 Copilot for Sales and Microsoft 365 Copilot for Service,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.5,"Propose Microsoft Power Platform AI features, including AI hub",25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.6,Design interoperability of the finance and operations agent chats to use additional knowledge sources,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-2.3.7,Recommend the process of adding knowledge sources to in-app help and guidance for Dynamics 365 Finance or Dynamics 365 Supply Chain Management apps,25-30%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.1.1,Recommend the process and tools required for monitoring agents,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.1.2,Analyze backlog and user feedback of AI and agent usage,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.1.3,Apply AI-based tools to analyze and identify issues and perform tuning,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.1.4,Monitor agent performance and metrics,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.1.5,Interpret telemetry data for performance and model tuning,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.2.1,Recommend the process and metrics to test agents,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.2.2,Create validation criteria of custom AI models,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.2.3,Validate effective Copilot prompt best practices,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.2.4,Design end-to-end test scenarios of AI solutions that use multiple Dynamics 365 apps,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.2.5,Build the strategy for creating test cases by using Copilot,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.1,Design the ALM process for data used in AI models and agents,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.2,"Design the ALM process for Copilot Studio agents, connectors, and actions",40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.3,Design the ALM process for Microsoft Foundry Agents Service,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.4,Design the ALM process for custom AI models,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.5,Design the ALM process for AI in Dynamics 365 apps for finance and supply chain,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.3.6,Design the ALM process for AI in Dynamics 365 apps for customer experience and service,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
AB100,AB100-3.4.1,Design security for agents,40-45%,,,,Unseen,,,,"Skills measured as of 2026-10-14 (page updated 2026-09-14). Change log: minor changes to 1.2, 2.1, 3.3 vs prior version.",
